"행정구역","2025년03월_총인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"경상북도 예천군 용문면(4790031000)","2,088","1,314","          1.59","1,066","1,022","          1.04"
"경상북도 예천군 감천면(4790034000)","2,437","1,498","          1.63","1,228","1,209","          1.02"
"경상북도 예천군 보문면(4790035000)","1,536","915","          1.68","775","761","          1.02"
"경상북도 예천군 유천면(4790037000)","2,431","1,458","          1.67","1,251","1,180","          1.06"
"경상북도 예천군 용궁면(4790038000)","2,207","1,322","          1.67","1,090","1,117","          0.98"
"경상북도 예천군 개포면(4790039000)","1,418","903","          1.57","692","726","          0.95"
"경상북도 예천군 지보면(4790040000)","2,510","1,561","          1.61","1,267","1,243","          1.02"
"경상북도 예천군 풍양면(4790041000)","2,781","1,767","          1.57","1,346","1,435","          0.94"
"경상북도 예천군 효자면(4790042000)","1,151","717","          1.61","580","571","          1.02"
"경상북도 예천군 은풍면(4790043000)","1,269","744","          1.71","649","620","          1.05"
"경상북도 봉화군 (4792000000)","28,588","16,541","          1.73","14,610","13,978","          1.05"
"경상북도 봉화군 봉화읍(4792025000)","9,016","4,773","          1.89","4,468","4,548","          0.98"
"경상북도 봉화군 물야면(4792031000)","2,801","1,666","          1.68","1,445","1,356","          1.07"
"경상북도 봉화군 봉성면(4792032000)","1,898","1,094","          1.73","928","970","          0.96"
"경상북도 봉화군 법전면(4792033000)","1,868","1,115","          1.68","969","899","          1.08"
"경상북도 봉화군 춘양면(4792034000)","4,103","2,472","          1.66","2,065","2,038","          1.01"
"경상북도 봉화군 소천면(4792035000)","2,061","1,326","          1.55","1,064","997","          1.07"
"경상북도 봉화군 재산면(4792036000)","1,381","850","          1.62","713","668","          1.07"
"경상북도 봉화군 명호면(4792037000)","2,056","1,239","          1.66","1,104","952","          1.16"
